area_b,n_rtu,area_r,perimeter,hp
11094,7,26,20,1
11094,7,27,21,1
11094,7,16,16,0
11094,7,19,17,0
11094,7,15,15,0
11094,7,19,17,0
11094,7,16,16,0
108724,10,88,37,4
108724,10,85,37,4
108724,10,91,38,4
108724,10,88,38,5
108724,10,89,38,4
108724,10,51,29,4
108724,10,91,38,4
108724,10,92,39,5
108724,10,79,36,4
28511,10,41,26,3
28511,10,40,26,3
28511,10,41,26,2
28511,10,39,25,3
28511,10,40,26,3
28511,10,39,25,3
28511,10,41,26,3
28511,10,42,26,3
28511,10,41,26,3
7849,4,29,21,3
7849,4,28,21,3
7849,4,27,21,3
7849,4,26,20,3
13333,2,26,21,0
13333,2,40,26,3
61339,7,74,34,4
61339,7,77,35,4
61339,7,75,34,4
61339,7,74,34,4
61339,7,74,34,4
61339,7,76,35,4
11747,3,30,22,0
11747,3,77,35,4
11747,3,80,36,4
8603,5,25,20,3
8603,5,23,20,3
8603,5,25,20,3
8603,5,22,19,3
8603,5,23,19,3
5314,3,20,18,3
5314,3,22,19,3
5314,3,21,18,3
50145,7,44,30,0
50145,7,52,29,1
50145,7,31,22,0
50145,7,321,93,8
50145,7,75,35,4
8658,5,24,20,3
8658,5,23,19,3
8658,5,25,20,3
8658,5,23,20,3
8658,5,23,19,3
6594,4,35,24,3
6594,4,35,24,3
6594,4,34,24,3
6594,4,32,23,3
6741,4,33,24,3
6741,4,34,24,3
6741,4,33,23,3
6741,4,33,24,3
7394,2,37,25,3
7394,2,37,25,3
60412,1,90,38,4
6911,4,30,22,3
6911,4,31,23,3
6911,4,37,24,3
6911,4,31,23,3
8059,4,32,23,3
8059,4,33,24,3
8059,4,31,23,3
8059,4,32,23,3
7767,5,32,23,3
7767,5,34,23,3
7767,5,30,22,3
7767,5,29,22,3
7767,5,31,22,3
23904,11,91,38,4
23904,11,99,40,1
23904,11,85,37,5
23904,11,90,38,5
23904,11,93,39,5
23904,11,93,39,0
23904,11,43,27,1
23904,11,33,23,1
23904,11,38,25,1
8047,5,33,23,3
8047,5,35,24,3
8047,5,35,24,3
8047,5,34,24,3
8047,5,34,24,3
11642,3,38,25,4
11642,3,37,24,4
11642,3,37,24,4
10631,3,34,24,0
10631,3,90,38,4
10631,3,86,37,4
9648,7,18,17,3
9648,7,22,19,3
9648,7,28,22,0
9648,7,23,19,3
9648,7,22,19,3
9648,7,23,19,3
9648,7,24,20,3
10408,6,41,25,3
10408,6,33,23,3
10408,6,32,22,3
10408,6,25,20,3
10408,6,30,22,3
10408,6,30,22,3
52617,3,48,28,3
40835,4,89,38,5
40835,4,47,28,4
40835,4,85,37,5
6803,4,31,23,3
6803,4,21,19,3
6803,4,19,18,3
6803,4,22,19,3
46844,12,44,27,3
46844,12,45,27,2
46844,12,36,25,3
46844,12,62,32,3
46844,12,28,22,2
46844,12,21,18,0
46844,12,44,27,3
46844,12,50,31,3
46844,12,47,27,3
46844,12,60,31,3
46844,12,37,27,3
46844,12,44,26,3
16594,7,49,28,3
16594,7,33,23,3
16594,7,37,24,3
16594,7,35,24,3
16594,7,34,24,3
16594,7,38,25,3
16594,7,35,24,3
59043,5,60,32,4
59043,5,18,17,1
59043,5,39,25,4
59043,5,21,18,1
59043,5,37,25,0
6694,4,32,23,0
6694,4,24,20,3
6694,4,24,20,3
6694,4,24,20,3
7683,5,34,24,3
7683,5,35,24,3
7683,5,39,25,3
7683,5,38,25,3
7683,5,35,24,3
7714,5,37,25,0
7714,5,47,29,3
7714,5,44,27,3
7714,5,43,27,3
7714,5,46,28,3
7915,4,36,24,3
7915,4,33,23,3
7915,4,37,25,3
7915,4,35,24,3
7321,4,37,25,3
7321,4,37,25,3
7321,4,37,25,3
7321,4,37,25,3
8067,5,36,24,3
8067,5,25,21,3
8067,5,35,24,3
8067,5,39,25,3
8067,5,34,23,3
46272,5,129,48,4
46272,5,131,49,5
46272,5,32,23,3
6851,5,28,22,3
6851,5,27,21,3
6851,5,28,22,3
6851,5,30,22,3
6851,5,25,21,3
8018,5,32,23,3
8018,5,36,24,3
8018,5,33,24,3
8018,5,39,25,3
8018,5,35,24,3
21537,3,178,63,7
21537,3,27,21,0
21537,3,52,30,2
37199,11,29,21,4
37199,11,28,21,4
37199,11,28,21,4
37199,11,27,21,4
37199,11,30,22,4
37199,11,17,17,0
37199,11,20,18,0
37199,11,20,18,0
37199,11,37,25,2
37199,11,35,24,2
37199,11,22,19,0
5538,3,33,23,3
5538,3,34,24,3
5538,3,31,23,3
6722,4,33,23,3
6722,4,35,24,3
6722,4,41,27,3
6722,4,27,21,1
53137,6,41,25,3
53137,6,78,37,4
53137,6,51,29,4
53137,6,65,33,7
15188,5,26,21,3
15188,5,33,23,3
15188,5,35,24,4
15188,5,32,23,3
15188,5,22,19,3
8107,4,33,23,3
8107,4,32,23,3
8107,4,34,24,3
8107,4,33,24,3
13301,4,58,30,4
13301,4,47,27,4
13301,4,33,23,3
13301,4,32,23,3
28688,5,50,28,3
28688,5,93,39,4
8944,4,23,19,3
8944,4,23,20,3
8944,4,24,20,3
8944,4,23,20,3
100303,10,89,39,5
100303,10,89,39,5
100303,10,92,40,6
100303,10,96,39,6
100303,10,33,24,2
100303,10,96,39,5
100303,10,31,23,2
100303,10,101,42,6
100303,10,46,27,3
100303,10,81,37,5
6748,4,31,23,3
6748,4,32,23,3
6748,4,34,24,3
6748,4,33,23,3
8025,4,26,21,3
8025,4,34,24,3
8025,4,26,21,3
8025,4,32,23,3
16068,5,43,26,3
16068,5,41,26,3
16068,5,45,27,3
16068,5,43,26,3
16068,5,43,26,3
6485,3,24,20,3
6485,3,23,19,3
6485,3,23,19,3
83834,8,42,26,3
83834,8,29,22,2
83834,8,101,40,4
83834,8,96,39,3
83834,8,97,40,4
83834,8,91,39,3
83834,8,89,38,4
83834,8,92,39,3
19669,4,14,15,1
19669,4,15,15,1
19669,4,15,15,1
19669,4,15,15,1
7923,5,32,23,3
7923,5,34,24,3
7923,5,32,23,3
7923,5,39,25,3
7923,5,35,24,3
9564,5,38,25,4
9564,5,25,20,3
9564,5,26,21,3
9564,5,25,20,3
9564,5,24,20,3
50020,10,82,36,4
50020,10,86,37,4
50020,10,86,37,4
50020,10,86,37,4
50020,10,85,37,4
50020,10,44,27,3
50020,10,86,37,4
50020,10,29,23,0
50020,10,83,37,4
50020,10,87,38,4
7787,5,32,23,0
7787,5,35,24,3
7787,5,36,24,3
7787,5,35,24,3
7787,5,33,23,3
62811,8,71,36,5
62811,8,37,26,0
62811,8,51,32,1
62811,8,66,34,2
62811,8,32,25,3
6465,2,33,23,3
6465,2,36,24,3
5500,3,24,20,3
5500,3,24,20,3
5500,3,24,20,3
19557,7,39,26,2
19557,7,41,26,2
19557,7,42,27,2
19557,7,42,27,2
19557,7,44,27,2
19557,7,42,26,2
19557,7,42,26,2
8275,5,33,23,3
8275,5,32,23,3
8275,5,33,23,3
8275,5,33,23,3
8275,5,29,22,3
16100,6,31,23,0
16100,6,34,24,0
16100,6,32,23,0
16100,6,28,22,0
16100,6,34,24,0
16100,6,38,25,0
8037,5,38,25,3
8037,5,36,24,3
8037,5,39,25,3
8037,5,39,25,3
8037,5,36,24,3
13243,5,28,22,3
13243,5,27,21,3
13243,5,27,21,3
13243,5,29,22,3
13243,5,29,22,3
6371,4,33,23,3
6371,4,30,23,3
6371,4,32,23,3
6371,4,31,23,0
19137,5,32,23,2
19137,5,40,26,2
19137,5,43,26,2
19137,5,39,25,2
19137,5,40,26,2
7572,5,33,23,3
7572,5,32,23,3
7572,5,36,24,3
7572,5,35,24,3
7572,5,32,23,3
37996,6,42,27,3
37996,6,89,38,4
37996,6,90,38,4
37996,6,83,37,4
37996,6,29,22,1
5971,4,26,20,3
5971,4,26,20,3
5971,4,24,19,3
5971,4,26,20,3
38259,5,86,37,5
38259,5,75,34,4
38259,5,43,27,3
38259,5,86,38,5
18247,1,91,38,4
20650,1,92,39,6
50148,7,87,37,4
50148,7,56,30,3
50148,7,36,24,2
50148,7,42,26,2
8799,5,23,19,3
8799,5,24,20,3
8799,5,24,20,3
8799,5,24,20,3
8799,5,24,20,3
5408,3,21,19,3
5408,3,23,20,3
5408,3,25,20,3
60020,7,92,39,4
60020,7,43,27,3
60020,7,29,22,1
60020,7,85,37,4
60020,7,30,22,2
60020,7,35,24,2
60020,7,90,38,5
7948,4,24,20,3
7948,4,26,21,3
7948,4,25,20,3
7948,4,23,19,3
11764,4,51,30,3
11764,4,22,19,3
7608,4,27,21,3
7608,4,27,21,3
7608,4,27,21,3
7608,4,26,21,3
8080,5,34,24,0
8080,5,37,25,3
8080,5,35,24,3
8080,5,35,24,3
8080,5,36,24,3
31691,6,70,35,4
31691,6,43,28,3
31691,6,26,21,0
31691,6,24,20,0
31691,6,27,27,0
31691,6,72,34,4
52262,7,107,44,4
52262,7,77,36,4
52262,7,53,30,3
30457,7,84,37,3
30457,7,91,38,3
30457,7,84,37,3
30457,7,29,22,1
30457,7,94,39,3
30457,7,87,38,3
30457,7,93,39,3
52859,6,107,41,4
52859,6,86,38,4
52859,6,96,39,4
52859,6,97,39,4
52859,6,67,33,2
52859,6,44,27,2
51448,7,61,31,4
51448,7,43,27,3
51448,7,31,23,2
51448,7,30,23,0
51448,7,20,18,1
8102,4,34,24,3
8102,4,34,23,3
8102,4,34,24,3
8102,4,33,23,3
6743,4,24,20,3
6743,4,29,22,3
6743,4,26,21,3
6743,4,27,21,3
7555,2,36,25,4
7555,2,35,24,4
6718,4,40,25,3
6718,4,36,24,3
6718,4,37,25,3
6718,4,28,21,3
7258,4,24,20,3
7258,4,26,21,3
7258,4,24,20,3
7258,4,23,20,3
24728,2,54,31,3
24728,2,45,27,3
6945,2,58,30,4
6945,2,35,24,2
10607,5,33,24,3
10607,5,30,22,3
10607,5,33,23,3
10607,5,32,23,3
10607,5,32,23,3
6972,4,32,23,3
6972,4,32,23,3
6972,4,31,23,3
6972,4,32,23,3
50674,6,71,36,4
50674,6,33,23,0
50674,6,48,28,3
50674,6,77,35,6
5594,3,36,25,3
5594,3,35,24,3
5594,3,36,25,3
8773,5,23,19,3
8773,5,25,20,3
8773,5,25,20,3
8773,5,23,20,3
8773,5,24,20,3
12252,5,39,26,2
12252,5,37,25,2
12252,5,40,26,2
12252,5,32,23,2
12252,5,28,21,0
7962,4,23,20,3
7962,4,23,20,3
7962,4,25,20,3
7962,4,25,20,3
49714,7,40,25,4
49714,7,71,33,4
49714,7,37,24,0
49714,7,278,85,8
49714,7,98,39,4
49714,7,53,29,2
8123,5,35,24,3
8123,5,35,24,3
8123,5,33,23,3
8123,5,33,23,3
8123,5,37,25,3
8123,5,36,24,3
8123,5,35,24,3
8123,5,32,23,3
8123,5,32,23,3
8123,5,34,23,3
5226,3,23,19,3
5226,3,25,20,3
5226,3,25,20,3
16156,7,38,25,3
16156,7,39,25,3
16156,7,40,25,3
6964,4,34,24,3
6964,4,33,24,3
6964,4,31,23,3
6964,4,32,23,3
7305,2,36,24,4
7305,2,36,24,3
7088,4,25,20,3
7088,4,23,19,3
7088,4,22,20,3
7088,4,22,19,3
5931,2,38,25,3
5931,2,39,25,3
27961,4,63,35,3
27961,4,67,37,4
27961,4,96,45,5
6735,4,33,24,3
6735,4,36,24,3
6735,4,33,23,3
6735,4,25,20,3
6446,3,43,27,4
6446,3,43,26,3
6446,3,30,23,0
8443,4,27,21,3
8443,4,22,19,3
8443,4,25,20,3
8443,4,24,20,3
51973,13,37,24,3
51973,13,26,21,0
51973,13,40,26,3
51973,13,40,25,3
51973,13,38,25,3
51973,13,41,26,3
51973,13,43,26,3
51973,13,17,16,0
8004,5,35,24,3
