area,hp
26,1.5
27,1.5
16,1.0
19,1.0
15,1.0
19,1.0
16,1.0
88,5.0
85,5.0
91,5.0
88,7.5
89,5.0
51,5.0
91,5.0
92,7.5
79,5.0
41,3.0
40,3.0
41,2.0
39,3.0
40,3.0
39,3.0
41,3.0
42,3.0
41,3.0
29,2.4
28,2.4
27,2.4
26,2.4
26,1.0
40,3.0
74,5.0
77,5.0
75,5.0
74,5.0
74,5.0
76,5.0
30,1.0
77,5.0
80,5.0
25,2.4
23,2.4
25,2.4
22,2.4
23,2.4
20,2.4
22,2.4
21,2.4
44,1.0
52,1.5
31,1.0
321,20.0
75,5.0
24,2.4
23,2.4
25,2.4
23,2.4
23,2.4
35,2.4
35,2.4
34,2.4
32,2.4
33,2.4
34,2.4
33,2.4
33,2.4
37,2.9
37,2.9
90,5.0
30,2.4
31,2.4
37,2.4
31,2.4
32,2.9
33,2.9
31,2.9
32,2.9
32,2.4
34,2.4
30,2.4
29,2.4
31,2.4
91,5.0
99,1.5
85,7.5
90,7.5
93,7.5
93,1.0
43,1.5
33,1.5
38,1.5
33,2.4
35,2.4
35,2.4
34,2.4
34,2.4
38,3.7
37,3.7
37,3.7
34,1.0
90,5.0
86,5.0
18,2.4
22,2.4
28,1.0
23,2.4
22,2.4
23,2.4
24,2.4
41,2.9
33,2.9
32,2.9
25,2.9
30,2.9
30,2.9
48,3.0
89,7.5
47,5.0
85,7.5
31,2.4
21,2.4
19,2.4
22,2.4
44,3.0
45,2.0
36,3.0
62,3.0
28,2.0
21,1.0
44,3.0
50,3.0
47,3.0
60,3.0
37,3.0
44,3.0
49,2.4
33,2.4
37,2.4
35,2.4
34,2.4
38,2.4
35,2.4
60,5.0
18,0.33
39,5.0
21,0.33
37,1.0
32,1.0
24,2.4
24,2.4
24,2.4
34,2.4
35,2.4
39,2.4
38,2.4
35,2.4
37,1.0
47,2.4
44,2.4
43,2.4
46,2.4
36,2.4
33,2.4
37,2.4
35,2.4
37,2.4
37,2.4
37,2.4
37,2.4
36,2.4
25,2.4
35,2.4
39,2.4
34,2.4
129,5.0
131,7.5
32,2.4
28,2.4
27,2.4
28,2.4
30,2.4
25,2.4
32,2.4
36,2.4
33,2.4
39,2.4
35,2.4
178,15.0
27,1.0
52,2.0
29,3.7
28,3.7
28,3.7
27,3.7
30,3.7
17,1.0
20,1.0
20,1.0
37,2.0
35,2.0
22,1.0
33,2.4
34,2.4
31,2.4
33,2.4
35,2.4
41,2.4
27,0.33
41,3.0
78,5.0
51,3.7
65,15.0
26,2.9
33,3.0
35,3.7
32,3.0
22,2.9
33,2.4
32,2.4
34,2.4
33,2.4
58,3.7
47,3.7
33,2.4
32,2.4
50,3.0
93,5.0
23,2.9
23,2.9
24,2.9
23,2.9
89,7.5
89,7.5
92,10.0
96,10.0
33,2.0
96,7.5
31,2.0
101,10.0
46,3.0
81,7.5
31,2.4
32,2.4
34,2.4
33,2.4
26,2.9
34,2.9
26,2.9
32,2.9
43,2.9
41,2.9
45,2.9
43,2.9
43,2.9
24,2.4
23,2.4
23,2.4
42,3.0
29,2.0
101,5.0
96,3.0
97,5.0
91,3.0
89,5.0
92,3.0
14,1.5
15,1.5
15,1.5
15,1.5
32,2.4
34,2.4
32,2.4
39,2.4
35,2.4
38,3.7
25,2.9
26,2.9
25,2.9
24,2.9
82,5.0
86,5.0
86,5.0
86,5.0
85,5.0
44,3.0
86,5.0
29,1.0
83,5.0
87,5.0
32,1.0
35,2.4
36,2.4
35,2.4
33,2.4
71,7.5
37,1.0
51,1.5
66,2.0
32,3.0
33,2.4
36,2.4
24,2.9
24,2.9
24,2.9
39,2.0
41,2.0
42,2.0
42,2.0
44,2.0
42,2.0
42,2.0
33,2.9
32,2.9
33,2.9
33,2.9
29,2.9
31,1.0
34,1.0
32,1.0
28,1.0
34,1.0
38,1.0
38,2.4
36,2.4
39,2.4
39,2.4
36,2.4
28,2.4
27,2.4
27,2.4
29,2.4
29,2.4
33,2.4
30,2.4
32,2.4
31,1.0
32,2.0
40,2.0
43,2.0
39,2.0
40,2.0
33,2.9
32,2.9
36,2.9
35,2.9
32,2.9
42,3.0
89,5.0
90,5.0
83,5.0
29,1.5
26,2.4
26,2.4
24,2.4
26,2.4
86,7.5
75,5.0
43,3.0
86,7.5
91,5.0
92,10.0
87,5.0
56,2.4
36,2.0
42,2.0
23,2.9
24,2.9
24,2.9
24,2.9
24,2.9
21,2.4
23,2.4
25,2.4
92,5.0
43,3.0
29,0.5
85,5.0
30,2.0
35,2.0
90,7.5
24,2.4
26,2.4
25,2.4
23,2.4
51,3.0
22,3.0
27,2.9
27,2.9
27,2.9
26,2.9
34,1.0
37,2.4
35,2.4
35,2.4
36,2.4
70,5.0
43,3.0
26,1.0
24,1.0
27,1.0
72,5.0
107,5.0
77,5.0
53,3.0
84,3.0
91,3.0
84,3.0
29,1.5
94,3.0
87,3.0
93,3.0
107,5.0
86,5.0
96,5.0
97,5.0
67,2.0
44,2.0
61,5.0
43,3.0
31,2.0
30,1.0
20,0.5
34,2.4
34,2.4
34,2.4
33,2.4
24,2.4
29,2.4
26,2.4
27,2.4
36,3.7
35,3.7
40,2.9
36,2.9
37,2.9
28,2.4
24,2.9
26,2.9
24,2.9
23,2.9
54,3.0
45,3.0
58,5.0
35,2.0
33,2.4
30,2.4
33,2.4
32,2.4
32,2.4
32,2.4
32,2.4
31,2.4
32,2.4
71,5.0
33,1.0
48,3.0
77,10.0
36,2.4
35,2.4
36,2.4
23,2.9
25,2.9
25,2.9
23,2.9
24,2.9
39,2.0
37,2.0
40,2.0
32,2.0
28,1.0
23,2.4
23,2.4
25,2.4
25,2.4
40,5.0
71,5.0
37,1.0
278,20.0
98,5.0
53,2.0
35,2.4
35,2.4
33,2.4
33,2.4
37,2.4
36,2.4
35,2.4
32,2.4
32,2.4
34,2.4
23,2.4
25,2.4
25,2.4
38,2.4
39,2.4
40,2.4
34,2.4
33,2.4
31,2.4
32,2.4
36,3.7
36,2.4
25,2.4
23,2.4
22,2.4
22,2.4
38,2.9
39,2.9
63,3.0
67,5.0
96,7.5
33,3.0
36,3.0
33,3.0
25,3.0
43,5.0
43,3.0
30,1.0
27,2.9
22,2.9
25,2.9
24,2.9
37,3.0
26,1.0
40,3.0
40,3.0
38,3.0
41,3.0
43,3.0
17,1.0
35,2.4
32,2.4
33,2.4
33,2.4
38,2.4
25,2.4
34,2.4
39,2.4
23,2.4
25,2.4
25,2.4
22,2.4
22,2.4
36,2.4
52,5.0
72,5.0
31,2.0
71,5.0
72,5.0
14,2.4
14,2.4
14,2.4
14,2.4
24,2.4
26,2.9
24,2.4
23,2.4
23,2.4
29,2.4
27,2.4
32,2.4
27,2.4
30,2.4
24,2.4
30,2.4
27,2.4
25,2.4
97,10.0
21,0.5
77,10.0
48,2.0
79,7.5
31,2.9
26,2.9
26,2.9
26,2.9
34,3.7
30,2.0
84,15.0
39,2.0
25,1.5
25,1.5
25,1.5
139,5.0
31,0.5
35,0.5
34,0.5
31,0.5
92,5.0
25,2.4
24,2.4
23,2.4
25,2.4
34,2.4
34,2.4
37,2.4
38,2.4
29,2.4
34,2.4
34,2.4
31,2.4
40,3.7
35,3.7
25,2.9
25,2.9
25,2.9
24,2.9
43,3.0
28,2.0
23,0.33
23,0.33
28,2.9
28,2.9
25,2.9
27,2.9
25,2.9
94,7.5
85,5.0
86,5.0
28,2.4
25,2.4
25,2.4
25,2.4
24,2.4
38,1.5
21,1.0
35,3.0
41,3.0
30,1.0
47,2.0
48,2.0
41,2.0
46,2.0
27,2.0
26,2.0
24,2.0
57,2.4
57,2.4
93,10.0
33,2.9
36,3.7
35,1.0
378,7.5
111,5.0
59,1.0
365,7.5
114,5.0
48,2.0
114,5.0
50,2.0
51,2.0
115,5.0
116,5.0
30,3.0
41,3.0
40,3.0
30,2.9
37,2.9
20,2.9
30,2.9
25,2.9
33,2.0
37,2.0
37,2.0
35,2.0
37,2.0
42,3.0
41,3.0
41,3.0
45,3.0
40,2.4
37,2.4
37,2.4
39,2.4
31,0.3
20,2.4
22,2.4
22,2.4
22,2.4
24,2.0
27,2.9
22,2.9
31,2.4
28,2.4
35,2.4
38,2.4
32,2.4
62,5.0
17,0.3
22,0.3
75,5.0
30,2.4
28,2.4
32,2.4
38,2.4
36,2.4
35,2.4
35,2.4
76,3.0
76,3.0
31,3.8
105,7.5
95,5.0
130,5.0
95,7.5
91,5.0
91,5.0
55,5.0
138,5.0
23,2.4
24,2.0
30,2.0
28,2.9
26,2.4
34,2.4
32,2.4
32,2.4
33,2.4
24,2.4
33,1.0
34,2.4
35,2.4
35,2.4
34,2.4
25,1.0
33,1.0
13,1.0
44,1.0
36,1.0
35,1.0
34,1.0
35,1.0
35,2.4
36,2.4
35,2.4
36,2.4
36,2.4
36,2.4
39,2.4
35,2.4
25,2.9
26,2.9
26,2.9
24,2.9
25,2.4
25,2.4
24,2.4
24,2.4
49,3.0
211,10.0
29,2.0
39,2.0
35,2.4
34,2.4
34,2.4
37,2.4
29,2.4
33,2.4
32,2.4
32,2.4
88,7.5
48,3.0
88,7.5
54,2.0
43,2.9
41,2.9
42,2.9
37,2.9
38,2.9
34,2.4
23,2.4
24,2.4
24,2.4
35,2.4
36,2.4
35,2.4
22,2.4
25,2.4
35,2.4
36,2.4
37,2.4
33,2.4
38,2.4
40,2.9
39,2.9
39,2.9
40,2.9
46,5.0
39,3.0
29,2.4
35,2.4
32,2.4
33,2.4
39,2.4
59,5.0
62,5.0
62,5.0
20,2.4
274,15.0
34,1.0
22,1.0
28,2.4
32,2.4
30,2.4
23,2.4
28,2.4
23,2.4
23,2.4
22,2.4
32,2.4
32,2.4
34,2.4
33,2.4
35,2.4
32,2.4
33,2.4
30,2.4
35,2.4
32,1.5
24,3.0
86,5.0
88,5.0
89,5.0
46,3.0
34,2.4
33,2.4
34,2.4
34,2.4
33,2.4
25,2.4
26,2.4
25,2.4
27,2.4
24,2.4
23,2.4
23,2.4
34,1.0
34,1.5
31,1.5
32,1.5
35,1.5
25,1.0
30,1.0
39,2.9
42,2.9
34,2.9
36,2.9
35,2.9
34,2.9
37,2.9
35,2.9
38,3.0
38,3.0
84,5.0
80,5.0
35,2.4
31,2.4
31,2.4
34,2.4
24,1.5
25,2.4
25,2.4
24,2.4
26,2.4
140,20.0
38,2.9
53,7.5
29,0.33
28,0.33
33,0.5
33,2.4
33,2.4
33,2.4
32,2.4
38,3.7
42,3.7
34,2.4
25,2.9
38,2.4
36,3.7
22,2.9
22,2.9
24,2.9
22,2.9
23,2.4
21,2.4
19,2.4
18,2.9
42,5.0
283,10.0
105,5.0
93,15.0
32,2.4
33,2.4
34,2.4
34,2.4
82,5.0
86,5.0
48,5.0
85,3.0
85,5.0
91,7.5
86,5.0
25,2.4
21,2.4
21,2.4
22,2.4
79,5.0
85,7.5
63,3.0
84,7.5
75,5.0
69,5.0
35,2.4
35,2.4
35,2.4
35,2.4
33,1.0
36,2.4
37,2.4
35,2.4
35,2.4
22,2.4
24,2.4
24,2.4
26,2.4
26,2.4
28,2.4
28,2.4
29,2.4
25,2.4
34,2.0
84,7.5
23,0.33
92,7.5
95,7.5
94,7.5
29,0.75
29,0.75
23,2.4
24,2.4
26,2.4
27,2.4
24,2.4
44,2.4
39,2.4
30,2.4
30,2.4
30,2.4
33,2.4
32,3.0
37,5.0
35,5.0
35,5.0
39,5.0
25,2.9
26,2.9
27,2.9
36,2.4
39,2.4
39,2.4
36,2.4
31,3.0
18,2.0
20,2.0
21,2.9
28,2.4
29,2.4
86,5.0
45,3.0
54,5.0
88,5.0
32,2.0
30,2.0
31,2.0
29,1.0
91,7.5
29,1.0
361,40.0
23,1.0
39,5.0
20,0.33
18,0.3
16,0.3
100,7.5
83,3.0
36,2.4
37,2.4
37,2.4
37,2.4
36,2.4
27,2.9
31,2.9
28,2.9
29,2.9
24,2.4
25,2.4
23,2.4
34,2.4
33,2.4
34,2.4
33,2.4
33,2.4
31,2.4
37,2.9
36,3.7
28,2.4
24,2.4
23,2.4
24,1.5
40,1.5
83,5.0
25,1.0
31,2.4
321,15.0
71,5.0
62,1.5
32,2.4
32,2.4
33,2.4
32,2.4
25,2.9
25,2.9
23,2.9
26,2.9
32,2.4
30,2.4
30,2.4
29,2.4
29,2.4
22,2.4
24,2.4
22,2.4
24,2.4
45,3.0
92,7.5
53,2.0
51,3.0
92,7.5
33,0.75
25,2.4
23,2.4
23,2.4
22,2.4
24,2.4
37,5.0
40,5.0
38,5.0
33,5.0
36,5.0
32,5.0
33,5.0
37,5.0
36,5.0
56,2.0
32,2.0
88,7.5
82,5.0
102,7.5
93,5.0
43,2.0
51,2.0
41,2.0
113,7.5
96,3.0
29,2.4
28,2.4
31,2.4
29,2.4
50,3.0
111,10.0
57,5.0
60,2.0
62,0.75
43,3.0
70,1.5
68,2.0
26,2.4
26,2.4
26,2.4
26,2.4
30,2.4
25,2.4
25,2.4
24,2.4
23,2.4
24,2.4
23,2.4
54,3.7
41,3.7
41,3.7
31,2.4
30,1.0
91,5.0
46,3.0
93,5.0
85,5.0
89,5.0
45,3.0
95,5.0
94,5.0
93,5.0
81,5.0
92,5.0
84,2.0
30,1.5
45,2.0
29,2.0
26,1.5
76,2.0
34,2.4
31,2.4
31,2.4
34,2.4
32,2.4
32,2.4
33,2.4
32,2.4
31,2.4
86,5.0
38,1.5
50,3.0
96,5.0
93,5.0
97,5.0
21,2.4
21,2.4
19,2.4
24,2.9
35,2.4
33,2.4
33,2.4
32,2.4
50,2.0
80,3.0
30,3.0
87,3.0
74,3.0
21,1.0
80,3.0
19,1.0
26,1.0
121,10.0
24,2.0
21,2.9
21,2.9
21,2.9
22,2.9
74,10.0
29,1.5
28,2.4
30,2.4
29,2.4
25,2.4
34,2.4
30,2.4
33,2.4
31,2.4
29,2.4
27,2.9
36,2.4
34,2.4
35,2.4
34,2.4
37,2.4
36,2.4
38,2.4
37,2.4
38,2.4
36,2.4
37,2.4
39,2.4
90,7.5
58,3.0
133,1.5
38,1.5
92,5.0
90,5.0
48,3.0
88,5.0
94,5.0
34,2.4
38,2.4
37,2.4
33,2.4
41,5.0
76,5.0
26,2.4
26,2.4
29,2.4
21,2.4
64,3.0
70,3.0
73,3.0
76,3.0
69,3.0
26,1.0
67,3.0
39,3.0
27,2.4
26,2.4
24,1.0
23,1.0
75,5.0
21,2.4
20,2.4
24,2.4
22,2.4
38,2.4
32,2.4
34,2.4
32,2.4
77,5.0
70,5.0
81,5.0
83,5.0
24,1.0
25,2.9
22,2.9
25,2.9
29,2.9
76,5.0
46,3.0
36,2.4
84,2.0
14,1.0
15,1.0
23,1.0
20,1.0
21,1.0
17,1.0
176,20.0
164,20.0
163,20.0
158,20.0
32,3.0
164,20.0
28,0.33
78,7.5
82,10.0
78,10.0
88,7.5
76,10.0
80,10.0
37,5.0
