id,area_building,area_rtu,rtu_n,hp_list,hp
518f5e2b-c7b7-4101-b99c-0a0d223ccf29,11094,138,7,"['1.50', '1.50', '1.00', '1.00', '1.00', '1.00', '1.00']",8.0
383cfb00-63c2-40f3-a47a-11d38e5d72b3,108724,842,10,"['5.00', '5.00', '5.00', '7.50', '5.00', '5.00', '5.00', '7.50', '0.00', '5.00']",50.0
546fdad8-602f-4ac0-bc25-4ddf774df784,28511,385,10,"['0.00', '3.00', '3.00', '2.00', '3.00', '3.00', '3.00', '3.00', '3.00', '3.00']",26.0
1761c0a9-8777-467d-a4a8-32fbbb2ab08b,7849,110,4,"['2.40', '2.40', '2.40', '2.40']",9.6
32589c61-c1e9-4cb7-af6d-de8731ad0dc5,13333,66,2,"['1.00', '3.00']",4.0
d5ff32d8-b02f-4631-b5a1-12716d1e7b63,61339,504,7,"['5.00', '5.00', '5.00', '5.00', '5.00', '5.00', '0.00']",30.0
4617e0ba-27b9-45f6-a33b-e0b147cfb457,11747,187,3,"['1.00', '5.00', '5.00']",11.0
e386ac89-5721-4d16-aae9-52f0cc82fa93,8603,118,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
21759fc9-e20c-4a28-877a-799d9891e26c,5314,63,3,"['2.40', '2.40', '2.40']",7.2
c3c4af27-8824-4323-8c10-0bc5c4009668,50145,591,7,"['0.00', '1.00', '1.50', '1.00', '20.00', '5.00', '0.00']",28.5
e7297a0c-1d23-49c6-ba75-87e3e452cef6,8658,118,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
ad7335b6-119e-42a0-ad04-77caba37d820,6594,136,4,"['2.40', '2.40', '2.40', '2.40']",9.6
87734f30-3209-4cf2-bb07-0ab620c51dcd,6741,133,4,"['2.40', '2.40', '2.40', '2.40']",9.6
f4e39cc4-7e14-47d6-83c7-626077d793f6,7394,74,2,"['2.90', '2.90']",5.8
29478e97-962a-43d9-a5ce-1032ff76474c,60412,90,1,['5.00'],5.0
c6bc788e-65bd-4d54-9897-f332206449dd,6911,129,4,"['2.40', '2.40', '2.40', '2.40']",9.6
0bd5c4f1-0a7d-4dcf-96e6-ae4264f05f63,8059,128,4,"['2.90', '2.90', '2.90', '2.90']",11.6
d489f445-4ab3-424e-86cb-5f5d5c1072af,7767,156,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
fc54957c-c5f9-4012-b17d-6382431afdae,23904,730,11,"['5.00', '1.50', '7.50', '7.50', '7.50', '0.00', '0.00', '1.00', '1.50', '1.50', '1.50']",34.5
9d611185-498e-41e4-beae-bac65f687ef3,8047,171,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
b15293e9-1caa-4af1-a5a6-c60a0534b0fe,11642,112,3,"['3.70', '3.70', '3.70']",11.1
7ca8f2a7-97be-4d17-b557-b66803a9e59c,10631,210,3,"['1.00', '5.00', '5.00']",11.0
5f020a2a-2ce1-4c99-81e1-756c3fe24848,9648,160,7,"['2.40', '2.40', '1.00', '2.40', '2.40', '2.40', '2.40']",15.4
258030a3-ef54-454e-bc7f-fed001d58638,10408,191,6,"['2.90', '2.90', '2.90', '2.90', '2.90', '2.90']",17.4
cb74826d-b15c-486f-a840-ee8087a41edd,52617,169,3,"['3.00', '0.00', '0.00']",3.0
90e4cd8e-99e4-4ca8-946b-0094f5b2921c,40835,271,4,"['7.50', '5.00', '7.50', '0.00']",20.0
5a9d1677-081e-4872-9693-aef9c1f4a0a4,6803,93,4,"['2.40', '2.40', '2.40', '2.40']",9.6
a1219652-2ac8-4029-a299-7f2920000b80,46844,518,12,"['3.00', '2.00', '3.00', '3.00', '2.00', '1.00', '3.00', '3.00', '3.00', '3.00', '3.00', '3.00']",32.0
b12e485b-2921-43e5-aba7-753840415acf,16594,261,7,"['2.40', '2.40', '2.40', '2.40', '2.40', '2.40', '2.40']",16.8
df48af39-4b77-47b4-980a-d8c4f8c328f2,59043,175,5,"['5.00', '0.33', '5.00', '0.33', '1.00']",11.66
f2c654b0-73ec-48be-b403-2d579e21cb6a,6694,104,4,"['1.00', '2.40', '2.40', '2.40']",8.2
22dbd6df-1e7e-4e73-b9f0-d1a390d65750,7683,181,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
2ad81568-206c-4638-b885-8cacb4cd43cb,7714,217,5,"['1.00', '2.40', '2.40', '2.40', '2.40']",10.6
10121a2b-865f-4ece-912a-ff181e8071bf,7915,141,4,"['2.40', '2.40', '2.40', '2.40']",9.6
05b52adb-d400-4d50-a909-bf02a8021a9f,7321,148,4,"['2.40', '2.40', '2.40', '2.40']",9.6
8d7d571c-b62b-4f21-bbbc-be1d760ff207,8067,169,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
e5c44c5c-f212-4414-8294-b95e1d89dde3,46272,729,5,"['5.00', '7.50', '2.40', '0.00', '0.00']",14.9
6b29d158-b205-4dcf-b0cd-f9d7c27d916e,6851,138,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
9c6b3e64-f5c5-404a-ab20-c1f2403e0795,8018,175,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
6ef9ca50-459e-458c-8981-b24779b0c169,21537,257,3,"['15.00', '1.00', '2.00']",18.0
926094a1-a8e9-4b45-8a7f-c6255662e6f3,37199,293,11,"['3.70', '3.70', '3.70', '3.70', '3.70', '1.00', '1.00', '1.00', '2.00', '2.00', '1.00']",26.5
6481587a-7bd7-4597-8cbf-6584b5ab37da,5538,98,3,"['2.40', '2.40', '2.40']",7.2
51899501-2033-4d4f-a9a1-695740b68f07,6722,136,4,"['2.40', '2.40', '2.40', '0.33']",7.53
4e0a80de-2890-45e2-af90-7a13ad233db4,53137,299,6,"['3.00', '5.00', '3.70', '15.00', '0.00', '0.00']",26.7
b8a074a7-7f81-48ad-ab58-285cb6b2d665,15188,148,5,"['2.90', '3.00', '3.70', '3.00', '2.90']",15.5
9cbd4cfe-d8dd-4684-80d7-021196333031,8107,132,4,"['2.40', '2.40', '2.40', '2.40']",9.6
5162f172-91d3-413e-bc44-c07c9d1f38ca,13301,170,4,"['3.70', '3.70', '2.40', '2.40']",12.2
f8575c30-e4ad-486c-b972-f0a231406672,28688,349,5,"['3.00', '5.00', '0.00', '0.00', '0.00']",8.0
e9719999-c623-40ac-9435-43e864d47a7f,8944,93,4,"['2.90', '2.90', '2.90', '2.90']",11.6
f4ea6f53-a668-436b-ae9c-974ed868e7ec,100303,754,10,"['7.50', '7.50', '10.00', '10.00', '2.00', '7.50', '2.00', '10.00', '3.00', '7.50']",67.0
173af0eb-bfd4-4f19-ace4-de67963a4041,6748,130,4,"['2.40', '2.40', '2.40', '2.40']",9.6
51ddf9b0-0965-4182-9674-977abb34c465,8025,118,4,"['2.90', '2.90', '2.90', '2.90']",11.6
db05c114-f341-40b9-b485-3fc78b974ebf,16068,215,5,"['2.90', '2.90', '2.90', '2.90', '2.90']",14.5
26f6d588-5de9-483d-8c64-e4ec5191db45,6485,70,3,"['2.40', '2.40', '2.40']",7.2
78e93d24-2b02-40ae-853c-0628fdb81377,83834,637,8,"['3.00', '2.00', '5.00', '3.00', '5.00', '3.00', '5.00', '3.00']",29.0
5dae8e6d-e6de-44c3-977e-d08793242d93,19669,59,4,"['1.50', '1.50', '1.50', '1.50']",6.0
69b90243-4cf1-42e4-a53c-471c3feddc7d,7923,172,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
c6f56921-9f70-42cf-a983-bcdddcc445a9,9564,138,5,"['3.70', '2.90', '2.90', '2.90', '2.90']",15.3
7a28b4c0-cdb6-4371-8762-8aeb6cb2625e,50020,754,10,"['5.00', '5.00', '5.00', '5.00', '5.00', '3.00', '5.00', '1.00', '5.00', '5.00']",44.0
73d5fd34-aed6-412f-a5d7-c0c7765148b6,7787,171,5,"['1.00', '2.40', '2.40', '2.40', '2.40']",10.6
c7203ba3-638b-48f9-8bf9-6c0d9eb877a0,62811,447,8,"['7.50', '1.00', '1.50', '2.00', '3.00', '0.00', '0.00', '0.00']",15.0
bcbffed3-481c-4aa0-a12b-7e4b7e90948b,6465,69,2,"['2.40', '2.40']",4.8
ca44dec7-a643-4e14-8583-541a07bda97b,5500,72,3,"['2.90', '2.90', '2.90']",8.7
84750d81-1033-4542-9c96-154e2ec7db87,19557,292,7,"['2.00', '2.00', '2.00', '2.00', '2.00', '2.00', '2.00']",14.0
9ccbf5c9-3266-4387-b9b7-298ae24b4fe1,8275,160,5,"['2.90', '2.90', '2.90', '2.90', '2.90']",14.5
f0b4e6c0-f58d-4a30-a631-3e136648d2d4,16100,197,6,"['1.00', '1.00', '1.00', '1.00', '1.00', '1.00']",6.0
77d86dab-487a-40bb-af4f-6392bf342aa1,8037,188,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
9b78bbe2-57a5-4058-a040-4de95580314d,13243,140,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
0df2b4c8-460a-4e30-befc-ce7f86c01dab,6371,126,4,"['2.40', '2.40', '2.40', '1.00']",8.2
52024d6a-7ac8-46c4-a15a-566a1a37fa3b,19137,194,5,"['2.00', '2.00', '2.00', '2.00', '2.00']",10.0
e37ee82a-79d2-470c-bdb5-3339fe521dd3,7572,168,5,"['2.90', '2.90', '2.90', '2.90', '2.90']",14.5
814b7e13-2b12-4808-b41e-eb288db65077,37996,363,6,"['3.00', '5.00', '5.00', '5.00', '1.50', '0.00']",19.5
e94f0118-b0c0-45bd-96a9-9f023514a127,5971,102,4,"['2.40', '2.40', '2.40', '2.40']",9.6
1d51b6da-2010-49c9-b198-705768a1c887,38259,323,5,"['7.50', '5.00', '3.00', '7.50', '0.00']",23.0
6c2440a0-ac45-4e36-86ed-f4492d28f857,18247,91,1,['5.00'],5.0
c8de69d2-5671-4aaf-8189-8b2f6fe862fd,20650,92,1,['10.00'],10.0
9c2c6c19-3e79-4cb7-8660-b7f23aa9ae9e,50148,284,7,"['5.00', '0.00', '0.00', '0.00', '2.40', '2.00', '2.00']",11.4
426d4eaa-5d8f-4dc9-a553-e7b921e5195a,8799,119,5,"['2.90', '2.90', '2.90', '2.90', '2.90']",14.5
64c268ad-d793-4f7b-895e-2b6abcfcc455,5408,69,3,"['2.40', '2.40', '2.40']",7.2
fc813e65-cfce-42db-9449-2202e8dfcf8f,60020,404,7,"['5.00', '3.00', '0.50', '5.00', '2.00', '2.00', '7.50']",25.0
00ec8d7c-8f81-4068-9e44-4bd7caf791ef,7948,98,4,"['2.40', '2.40', '2.40', '2.40']",9.6
c870b77c-2ef6-41c2-a832-d34e0bd7feab,11764,166,4,"['3.00', '3.00', '0.00', '0.00']",6.0
0920a38d-5142-4be7-809d-941be63248c6,7608,107,4,"['2.90', '2.90', '2.90', '2.90']",11.6
c8000a80-cb11-4712-9165-650aed7b8cdf,8080,177,5,"['1.00', '2.40', '2.40', '2.40', '2.40']",10.6
513717e3-ac02-491c-b8a9-1cb936665947,31691,262,6,"['5.00', '3.00', '1.00', '1.00', '1.00', '5.00']",16.0
f1a37272-d261-48bf-895e-4ebcfe68ce70,52262,589,7,"['5.00', '5.00', '0.00', '0.00', '3.00', '0.00', '0.00']",13.0
671decb4-c326-4d2e-82bb-ae542975adcf,30457,562,7,"['3.00', '3.00', '3.00', '1.50', '3.00', '3.00', '3.00']",19.5
a4083bbc-8a7f-41cc-a39d-4347f476fca2,52859,497,6,"['5.00', '5.00', '5.00', '5.00', '2.00', '2.00']",24.0
cb32ca49-082c-40a6-aa3b-d1b3ec53915d,51448,231,7,"['5.00', '3.00', '0.00', '2.00', '1.00', '0.50', '0.00']",11.5
d129629d-af4a-4618-abe6-6df139950152,8102,135,4,"['2.40', '2.40', '2.40', '2.40']",9.6
481e34ab-5a4e-464a-9ee0-7aa9e86033df,6743,106,4,"['2.40', '2.40', '2.40', '2.40']",9.6
388933b5-64ab-4301-92b8-9ec8adf0bb03,7555,71,2,"['3.70', '3.70']",7.4
f10aa9d1-384d-4e8e-8c43-1470c3359d8b,6718,141,4,"['2.90', '2.90', '2.90', '2.40']",11.1
53f5a5ca-66f4-4198-85fd-db32a1d3ec55,7258,97,4,"['2.90', '2.90', '2.90', '2.90']",11.6
f9cdb64d-3ce4-4f86-ae92-3f8e0291f02a,24728,99,2,"['3.00', '3.00']",6.0
8076bae7-62c8-4720-89cf-8a935eeb356e,6945,93,2,"['5.00', '2.00']",7.0
345c3350-62d8-4efa-b86e-b9c406962cfd,10607,160,5,"['2.40', '2.40', '2.40', '2.40', '2.40']",12.0
a69cf376-bb55-42b7-bf50-bd64bdb96918,6972,127,4,"['2.40', '2.40', '2.40', '2.40']",9.6
e1356962-c1a9-460b-97bc-cb62195d7c69,50674,305,6,"['5.00', '1.00', '0.00', '3.00', '10.00', '0.00']",19.0
7486be03-07b9-4eab-af6b-62f63c9434f8,5594,107,3,"['2.40', '2.40', '2.40']",7.2
e5a130d1-be85-4ad7-a0d3-7f376e5defe1,8773,120,5,"['2.90', '2.90', '2.90', '2.90', '2.90']",14.5
7595e34d-70f5-46d3-bf59-50fe7094e2a4,12252,176,5,"['2.00', '2.00', '2.00', '2.00', '1.00']",9.0
51975eb0-e908-4505-9f94-1e3e1ee88688,7962,96,4,"['2.40', '2.40', '2.40', '2.40']",9.6
