area,hp,hp_predict_alf,is_equal_alf
26,1.5,1.5,True
27,1.5,1.5,True
16,1.0,1.0,True
19,1.0,1.0,True
15,1.0,1.0,True
19,1.0,1.0,True
16,1.0,1.0,True
88,5.0,5.0,True
85,5.0,5.0,True
91,5.0,5.0,True
88,7.5,5.0,False
89,5.0,5.0,True
51,5.0,5.0,True
91,5.0,7.5,False
92,7.5,5.0,False
79,5.0,7.5,False
41,3.0,3.0,True
40,3.0,3.0,True
41,2.0,3.0,False
39,3.0,3.0,True
40,3.0,3.0,True
39,3.0,3.0,True
41,3.0,3.0,True
42,3.0,3.0,True
41,3.0,3.0,True
29,3.0,3.0,True
28,3.0,3.0,True
27,3.0,3.0,True
26,3.0,3.0,True
26,1.0,1.0,True
40,3.0,3.0,True
74,5.0,5.0,True
77,5.0,5.0,True
75,5.0,5.0,True
74,5.0,5.0,True
74,5.0,5.0,True
76,5.0,5.0,True
30,1.0,3.0,False
77,5.0,5.0,True
80,5.0,5.0,True
25,3.0,3.0,True
23,3.0,3.0,True
25,3.0,3.0,True
22,3.0,3.0,True
23,3.0,3.0,True
20,3.0,3.0,True
22,3.0,3.0,True
21,3.0,3.0,True
44,1.0,1.0,True
52,1.5,3.0,False
31,1.0,1.0,True
321,20.0,20.0,True
75,5.0,5.0,True
24,3.0,3.0,True
23,3.0,3.0,True
25,3.0,3.0,True
23,3.0,3.0,True
23,3.0,3.0,True
35,3.0,3.0,True
35,3.0,3.0,True
34,3.0,3.0,True
32,3.0,3.0,True
33,3.0,3.0,True
34,3.0,3.0,True
33,3.0,3.0,True
33,3.0,3.0,True
37,3.0,3.0,True
37,3.0,3.0,True
90,5.0,5.0,True
30,3.0,3.0,True
31,3.0,3.0,True
37,3.0,3.0,True
31,3.0,3.0,True
32,3.0,3.0,True
33,3.0,3.0,True
31,3.0,3.0,True
32,3.0,3.0,True
32,3.0,3.0,True
34,3.0,3.0,True
30,3.0,3.0,True
29,3.0,3.0,True
31,3.0,3.0,True
91,5.0,7.5,False
99,1.5,1.5,True
85,7.5,5.0,False
90,7.5,7.5,True
93,7.5,7.5,True
93,1.0,7.5,False
43,1.5,2.0,False
33,1.5,1.5,True
38,1.5,2.0,False
33,3.0,3.0,True
35,3.0,3.0,True
35,3.0,3.0,True
34,3.0,3.0,True
34,3.0,3.0,True
38,5.0,3.0,False
37,5.0,3.0,False
37,5.0,3.0,False
34,1.0,1.0,True
90,5.0,5.0,True
86,5.0,5.0,True
18,3.0,3.0,True
22,3.0,3.0,True
28,1.0,3.0,False
23,3.0,3.0,True
22,3.0,3.0,True
23,3.0,3.0,True
24,3.0,3.0,True
41,3.0,3.0,True
33,3.0,3.0,True
32,3.0,3.0,True
25,3.0,3.0,True
30,3.0,3.0,True
30,3.0,3.0,True
48,3.0,3.0,True
89,7.5,5.0,False
47,5.0,5.0,True
85,7.5,5.0,False
31,3.0,3.0,True
21,3.0,3.0,True
19,3.0,3.0,True
22,3.0,3.0,True
44,3.0,3.0,True
45,2.0,3.0,False
36,3.0,3.0,True
62,3.0,3.0,True
28,2.0,2.0,True
21,1.0,1.0,True
44,3.0,3.0,True
50,3.0,2.0,False
47,3.0,3.0,True
60,3.0,3.0,True
37,3.0,3.0,True
44,3.0,3.0,True
49,3.0,3.0,True
33,3.0,3.0,True
37,3.0,3.0,True
35,3.0,3.0,True
34,3.0,3.0,True
38,3.0,3.0,True
35,3.0,3.0,True
60,5.0,5.0,True
18,1.0,1.0,True
39,5.0,5.0,True
21,1.0,1.0,True
37,1.0,5.0,False
32,1.0,3.0,False
24,3.0,3.0,True
24,3.0,3.0,True
24,3.0,3.0,True
34,3.0,3.0,True
35,3.0,3.0,True
39,3.0,3.0,True
38,3.0,3.0,True
35,3.0,3.0,True
37,1.0,3.0,False
47,3.0,3.0,True
44,3.0,3.0,True
43,3.0,3.0,True
46,3.0,3.0,True
36,3.0,3.0,True
33,3.0,3.0,True
37,3.0,3.0,True
35,3.0,3.0,True
37,3.0,3.0,True
37,3.0,3.0,True
37,3.0,3.0,True
37,3.0,3.0,True
36,3.0,3.0,True
25,3.0,3.0,True
35,3.0,3.0,True
39,3.0,3.0,True
34,3.0,3.0,True
129,5.0,2.0,False
131,7.5,5.0,False
32,3.0,1.0,False
28,3.0,3.0,True
27,3.0,3.0,True
28,3.0,3.0,True
30,3.0,3.0,True
25,3.0,3.0,True
32,3.0,3.0,True
36,3.0,3.0,True
33,3.0,3.0,True
39,3.0,3.0,True
35,3.0,3.0,True
178,15.0,10.0,False
27,1.0,1.0,True
52,2.0,3.0,False
29,5.0,5.0,True
28,5.0,5.0,True
28,5.0,5.0,True
27,5.0,5.0,True
30,5.0,5.0,True
17,1.0,1.0,True
20,1.0,1.0,True
20,1.0,1.0,True
37,2.0,2.0,True
35,2.0,5.0,False
22,1.0,1.0,True
33,3.0,3.0,True
34,3.0,3.0,True
31,3.0,3.0,True
33,3.0,3.0,True
35,3.0,3.0,True
41,3.0,3.0,True
27,1.0,3.0,False
41,3.0,2.0,False
78,5.0,7.5,False
51,5.0,5.0,True
65,15.0,5.0,False
26,3.0,3.0,True
33,3.0,3.0,True
35,5.0,5.0,True
32,3.0,3.0,True
22,3.0,3.0,True
33,3.0,3.0,True
32,3.0,3.0,True
34,3.0,3.0,True
33,3.0,3.0,True
58,5.0,3.0,False
47,5.0,3.0,False
33,3.0,3.0,True
32,3.0,3.0,True
50,3.0,3.0,True
93,5.0,5.0,True
23,3.0,3.0,True
23,3.0,3.0,True
24,3.0,3.0,True
23,3.0,3.0,True
89,7.5,5.0,False
89,7.5,5.0,False
92,10.0,10.0,True
96,10.0,7.5,False
33,2.0,5.0,False
96,7.5,7.5,True
31,2.0,5.0,False
101,10.0,10.0,True
46,3.0,3.0,True
81,7.5,7.5,True
31,3.0,3.0,True
32,3.0,3.0,True
34,3.0,3.0,True
33,3.0,3.0,True
26,3.0,3.0,True
34,3.0,3.0,True
26,3.0,3.0,True
32,3.0,3.0,True
43,3.0,3.0,True
41,3.0,3.0,True
45,3.0,3.0,True
43,3.0,3.0,True
43,3.0,3.0,True
24,3.0,3.0,True
23,3.0,3.0,True
23,3.0,3.0,True
42,3.0,3.0,True
29,2.0,2.0,True
101,5.0,5.0,True
96,3.0,5.0,False
97,5.0,5.0,True
91,3.0,5.0,False
89,5.0,5.0,True
92,3.0,5.0,False
14,1.5,1.5,True
15,1.5,1.5,True
15,1.5,1.5,True
15,1.5,1.5,True
32,3.0,3.0,True
34,3.0,3.0,True
32,3.0,3.0,True
39,3.0,3.0,True
35,3.0,3.0,True
38,5.0,3.0,False
25,3.0,3.0,True
26,3.0,3.0,True
25,3.0,3.0,True
24,3.0,3.0,True
82,5.0,5.0,True
86,5.0,5.0,True
86,5.0,5.0,True
86,5.0,5.0,True
85,5.0,5.0,True
44,3.0,3.0,True
86,5.0,5.0,True
29,1.0,1.0,True
83,5.0,5.0,True
87,5.0,5.0,True
32,1.0,3.0,False
35,3.0,3.0,True
36,3.0,3.0,True
35,3.0,3.0,True
33,3.0,3.0,True
71,7.5,3.0,False
37,1.0,3.0,False
51,1.5,5.0,False
66,2.0,3.0,False
32,3.0,3.0,True
33,3.0,3.0,True
36,3.0,5.0,False
24,3.0,3.0,True
24,3.0,3.0,True
24,3.0,3.0,True
39,2.0,2.0,True
41,2.0,2.0,True
42,2.0,2.0,True
42,2.0,2.0,True
44,2.0,2.0,True
42,2.0,2.0,True
42,2.0,2.0,True
33,3.0,3.0,True
32,3.0,3.0,True
33,3.0,3.0,True
33,3.0,3.0,True
29,3.0,3.0,True
31,1.0,1.0,True
34,1.0,1.0,True
32,1.0,1.0,True
28,1.0,1.0,True
34,1.0,1.0,True
38,1.0,1.0,True
38,3.0,3.0,True
36,3.0,3.0,True
39,3.0,3.0,True
39,3.0,3.0,True
36,3.0,3.0,True
28,3.0,3.0,True
27,3.0,3.0,True
27,3.0,3.0,True
29,3.0,3.0,True
29,3.0,3.0,True
33,3.0,3.0,True
30,3.0,3.0,True
32,3.0,3.0,True
31,1.0,3.0,False
32,2.0,2.0,True
40,2.0,2.0,True
43,2.0,2.0,True
39,2.0,2.0,True
40,2.0,2.0,True
33,3.0,2.0,False
32,3.0,2.0,False
36,3.0,2.0,False
35,3.0,2.0,False
32,3.0,2.0,False
42,3.0,3.0,True
89,5.0,5.0,True
90,5.0,5.0,True
83,5.0,5.0,True
29,1.5,3.0,False
26,3.0,3.0,True
26,3.0,3.0,True
24,3.0,3.0,True
26,3.0,3.0,True
86,7.5,5.0,False
75,5.0,5.0,True
43,3.0,3.0,True
86,7.5,7.5,True
91,5.0,5.0,True
92,10.0,10.0,True
87,5.0,5.0,True
56,3.0,3.0,True
36,2.0,1.0,False
42,2.0,2.0,True
23,3.0,3.0,True
24,3.0,3.0,True
24,3.0,3.0,True
24,3.0,3.0,True
24,3.0,3.0,True
21,3.0,3.0,True
23,3.0,3.0,True
25,3.0,3.0,True
92,5.0,5.0,True
43,3.0,3.0,True
29,1.0,2.0,False
85,5.0,5.0,True
30,2.0,2.0,True
35,2.0,1.0,False
90,7.5,5.0,False
24,3.0,3.0,True
26,3.0,3.0,True
25,3.0,3.0,True
23,3.0,3.0,True
51,3.0,3.0,True
22,3.0,3.0,True
27,3.0,3.0,True
27,3.0,3.0,True
27,3.0,3.0,True
26,3.0,3.0,True
34,1.0,3.0,False
37,3.0,3.0,True
35,3.0,3.0,True
35,3.0,3.0,True
36,3.0,3.0,True
70,5.0,3.0,False
43,3.0,3.0,True
26,1.0,1.0,True
24,1.0,1.0,True
27,1.0,3.0,False
72,5.0,5.0,True
107,5.0,5.0,True
77,5.0,5.0,True
53,3.0,3.0,True
84,3.0,3.0,True
91,3.0,3.0,True
84,3.0,3.0,True
29,1.5,1.5,True
94,3.0,3.0,True
87,3.0,3.0,True
93,3.0,3.0,True
107,5.0,5.0,True
86,5.0,5.0,True
96,5.0,5.0,True
97,5.0,5.0,True
67,2.0,2.0,True
44,2.0,2.0,True
61,5.0,5.0,True
43,3.0,3.0,True
31,2.0,2.0,True
30,1.0,2.0,False
20,1.0,1.0,True
34,3.0,3.0,True
34,3.0,3.0,True
34,3.0,3.0,True
33,3.0,3.0,True
24,3.0,3.0,True
29,3.0,3.0,True
26,3.0,3.0,True
27,3.0,3.0,True
36,5.0,3.0,False
35,5.0,3.0,False
40,3.0,3.0,True
36,3.0,3.0,True
37,3.0,3.0,True
28,3.0,3.0,True
24,3.0,3.0,True
26,3.0,3.0,True
24,3.0,3.0,True
23,3.0,3.0,True
54,3.0,1.5,False
45,3.0,3.0,True
58,5.0,5.0,True
35,2.0,2.0,True
33,3.0,3.0,True
30,3.0,3.0,True
33,3.0,3.0,True
32,3.0,3.0,True
32,3.0,3.0,True
32,3.0,3.0,True
32,3.0,3.0,True
31,3.0,3.0,True
32,3.0,3.0,True
71,5.0,3.0,False
33,1.0,1.0,True
48,3.0,3.0,True
77,10.0,5.0,False
36,3.0,3.0,True
35,3.0,3.0,True
36,3.0,3.0,True
23,3.0,3.0,True
25,3.0,3.0,True
25,3.0,3.0,True
23,3.0,3.0,True
24,3.0,3.0,True
39,2.0,3.0,False
37,2.0,2.0,True
40,2.0,5.0,False
32,2.0,3.0,False
28,1.0,1.0,True
23,3.0,3.0,True
23,3.0,3.0,True
25,3.0,3.0,True
25,3.0,3.0,True
40,5.0,2.0,False
71,5.0,5.0,True
37,1.0,1.0,True
278,20.0,10.0,False
98,5.0,5.0,True
53,2.0,3.0,False
35,3.0,3.0,True
35,3.0,3.0,True
33,3.0,3.0,True
33,3.0,3.0,True
37,3.0,3.0,True
36,3.0,3.0,True
35,3.0,3.0,True
32,3.0,3.0,True
32,3.0,3.0,True
34,3.0,3.0,True
23,3.0,3.0,True
25,3.0,3.0,True
25,3.0,3.0,True
38,3.0,3.0,True
39,3.0,3.0,True
40,3.0,3.0,True
34,3.0,3.0,True
33,3.0,3.0,True
31,3.0,3.0,True
32,3.0,3.0,True
36,5.0,5.0,True
36,3.0,5.0,False
25,3.0,3.0,True
23,3.0,3.0,True
22,3.0,3.0,True
22,3.0,3.0,True
38,3.0,3.0,True
39,3.0,3.0,True
63,3.0,3.0,True
67,5.0,5.0,True
96,7.5,7.5,True
33,3.0,3.0,True
36,3.0,3.0,True
33,3.0,3.0,True
25,3.0,3.0,True
43,5.0,5.0,True
43,3.0,3.0,True
30,1.0,3.0,False
27,3.0,3.0,True
22,3.0,3.0,True
25,3.0,3.0,True
24,3.0,3.0,True
37,3.0,3.0,True
26,1.0,1.0,True
40,3.0,3.0,True
40,3.0,3.0,True
38,3.0,3.0,True
41,3.0,3.0,True
43,3.0,3.0,True
17,1.0,1.0,True
35,3.0,3.0,True
32,3.0,3.0,True
33,3.0,3.0,True
33,3.0,3.0,True
38,3.0,3.0,True
25,3.0,3.0,True
34,3.0,3.0,True
39,3.0,3.0,True
23,3.0,3.0,True
25,3.0,3.0,True
25,3.0,3.0,True
22,3.0,3.0,True
22,3.0,3.0,True
36,3.0,3.0,True
52,5.0,5.0,True
72,5.0,5.0,True
31,2.0,5.0,False
71,5.0,5.0,True
72,5.0,5.0,True
14,3.0,3.0,True
14,3.0,3.0,True
14,3.0,3.0,True
14,3.0,3.0,True
24,3.0,3.0,True
26,3.0,3.0,True
24,3.0,3.0,True
23,3.0,3.0,True
23,3.0,3.0,True
29,3.0,3.0,True
27,3.0,3.0,True
32,3.0,3.0,True
27,3.0,3.0,True
30,3.0,3.0,True
24,3.0,3.0,True
30,3.0,3.0,True
27,3.0,3.0,True
25,3.0,3.0,True
97,10.0,5.0,False
21,1.0,1.0,True
77,10.0,5.0,False
48,2.0,2.0,True
79,7.5,5.0,False
31,3.0,3.0,True
26,3.0,3.0,True
26,3.0,3.0,True
26,3.0,3.0,True
34,5.0,5.0,True
30,2.0,2.0,True
84,15.0,5.0,False
39,2.0,2.0,True
25,1.5,3.0,False
25,1.5,3.0,False
25,1.5,3.0,False
139,5.0,5.0,True
31,1.0,1.0,True
35,1.0,1.0,True
34,1.0,1.0,True
31,1.0,1.0,True
92,5.0,5.0,True
25,3.0,3.0,True
24,3.0,3.0,True
23,3.0,3.0,True
25,3.0,3.0,True
34,3.0,3.0,True
34,3.0,3.0,True
37,3.0,3.0,True
38,3.0,3.0,True
29,3.0,3.0,True
34,3.0,3.0,True
34,3.0,3.0,True
31,3.0,3.0,True
40,5.0,3.0,False
35,5.0,3.0,False
25,3.0,3.0,True
25,3.0,3.0,True
25,3.0,3.0,True
24,3.0,3.0,True
43,3.0,3.0,True
28,2.0,2.0,True
23,1.0,1.0,True
23,1.0,1.0,True
28,3.0,3.0,True
28,3.0,3.0,True
25,3.0,3.0,True
27,3.0,3.0,True
25,3.0,3.0,True
94,7.5,7.5,True
85,5.0,5.0,True
86,5.0,5.0,True
28,3.0,3.0,True
25,3.0,3.0,True
25,3.0,3.0,True
25,3.0,3.0,True
24,3.0,3.0,True
38,1.5,3.0,False
21,1.0,1.0,True
35,3.0,3.0,True
41,3.0,3.0,True
30,1.0,1.0,True
47,2.0,2.0,True
48,2.0,2.0,True
41,2.0,2.0,True
46,2.0,2.0,True
27,2.0,2.0,True
26,2.0,2.0,True
24,2.0,3.0,False
57,3.0,3.0,True
57,3.0,3.0,True
93,10.0,5.0,False
33,3.0,3.0,True
36,5.0,3.0,False
35,1.0,1.0,True
378,7.5,7.5,True
111,5.0,5.0,True
59,1.0,3.0,False
365,7.5,7.5,True
114,5.0,5.0,True
48,2.0,2.0,True
114,5.0,5.0,True
50,2.0,2.0,True
51,2.0,2.0,True
115,5.0,5.0,True
116,5.0,5.0,True
30,3.0,3.0,True
41,3.0,3.0,True
40,3.0,3.0,True
30,3.0,3.0,True
37,3.0,3.0,True
20,3.0,3.0,True
30,3.0,3.0,True
25,3.0,3.0,True
33,2.0,3.0,False
37,2.0,3.0,False
37,2.0,2.0,True
35,2.0,2.0,True
37,2.0,2.0,True
42,3.0,3.0,True
41,3.0,3.0,True
41,3.0,3.0,True
45,3.0,3.0,True
40,3.0,3.0,True
37,3.0,3.0,True
37,3.0,3.0,True
39,3.0,3.0,True
31,1.0,3.0,False
20,3.0,3.0,True
22,3.0,3.0,True
22,3.0,3.0,True
22,3.0,3.0,True
24,2.0,2.0,True
27,3.0,3.0,True
22,3.0,3.0,True
31,3.0,3.0,True
28,3.0,3.0,True
35,3.0,3.0,True
38,3.0,3.0,True
32,3.0,3.0,True
62,5.0,5.0,True
17,1.0,1.0,True
22,1.0,1.0,True
75,5.0,5.0,True
30,3.0,3.0,True
28,3.0,3.0,True
32,3.0,3.0,True
38,3.0,3.0,True
36,3.0,3.0,True
35,3.0,3.0,True
35,3.0,3.0,True
76,3.0,3.0,True
76,3.0,3.0,True
31,5.0,3.0,False
105,7.5,5.0,False
95,5.0,5.0,True
130,5.0,5.0,True
95,7.5,5.0,False
91,5.0,5.0,True
91,5.0,5.0,True
55,5.0,5.0,True
138,5.0,5.0,True
23,3.0,3.0,True
24,2.0,3.0,False
30,2.0,3.0,False
28,3.0,3.0,True
26,3.0,3.0,True
34,3.0,3.0,True
32,3.0,3.0,True
32,3.0,3.0,True
33,3.0,3.0,True
24,3.0,3.0,True
33,1.0,3.0,False
34,3.0,3.0,True
35,3.0,3.0,True
35,3.0,3.0,True
34,3.0,3.0,True
25,1.0,1.0,True
33,1.0,1.0,True
13,1.0,1.0,True
44,1.0,2.0,False
36,1.0,1.0,True
35,1.0,1.0,True
34,1.0,1.0,True
35,1.0,1.0,True
35,3.0,3.0,True
36,3.0,3.0,True
35,3.0,3.0,True
36,3.0,3.0,True
36,3.0,3.0,True
36,3.0,3.0,True
39,3.0,3.0,True
35,3.0,3.0,True
25,3.0,3.0,True
26,3.0,3.0,True
26,3.0,3.0,True
24,3.0,3.0,True
25,3.0,3.0,True
25,3.0,3.0,True
24,3.0,3.0,True
24,3.0,3.0,True
49,3.0,3.0,True
211,10.0,10.0,True
29,2.0,2.0,True
39,2.0,2.0,True
35,3.0,3.0,True
34,3.0,3.0,True
34,3.0,3.0,True
37,3.0,3.0,True
29,3.0,3.0,True
33,3.0,3.0,True
32,3.0,3.0,True
32,3.0,3.0,True
88,7.5,7.5,True
48,3.0,5.0,False
88,7.5,7.5,True
54,2.0,2.0,True
43,3.0,3.0,True
41,3.0,3.0,True
42,3.0,3.0,True
37,3.0,3.0,True
38,3.0,3.0,True
34,3.0,3.0,True
23,3.0,3.0,True
24,3.0,3.0,True
24,3.0,3.0,True
35,3.0,3.0,True
36,3.0,3.0,True
35,3.0,3.0,True
22,3.0,3.0,True
25,3.0,3.0,True
35,3.0,3.0,True
36,3.0,3.0,True
37,3.0,3.0,True
33,3.0,3.0,True
38,3.0,3.0,True
40,3.0,3.0,True
39,3.0,3.0,True
39,3.0,3.0,True
40,3.0,3.0,True
46,5.0,3.0,False
39,3.0,3.0,True
29,3.0,3.0,True
35,3.0,3.0,True
32,3.0,3.0,True
33,3.0,3.0,True
39,3.0,3.0,True
59,5.0,5.0,True
62,5.0,5.0,True
62,5.0,5.0,True
20,3.0,3.0,True
274,15.0,10.0,False
34,1.0,1.0,True
22,1.0,3.0,False
28,3.0,3.0,True
32,3.0,3.0,True
30,3.0,3.0,True
23,3.0,3.0,True
28,3.0,3.0,True
23,3.0,3.0,True
23,3.0,3.0,True
22,3.0,3.0,True
32,3.0,3.0,True
32,3.0,3.0,True
34,3.0,3.0,True
33,3.0,3.0,True
35,3.0,3.0,True
32,3.0,3.0,True
33,3.0,3.0,True
30,3.0,3.0,True
35,3.0,3.0,True
32,1.5,3.0,False
24,3.0,3.0,True
86,5.0,5.0,True
88,5.0,5.0,True
89,5.0,5.0,True
46,3.0,3.0,True
34,3.0,3.0,True
33,3.0,3.0,True
34,3.0,3.0,True
34,3.0,3.0,True
33,3.0,3.0,True
25,3.0,3.0,True
26,3.0,3.0,True
25,3.0,3.0,True
27,3.0,3.0,True
24,3.0,3.0,True
23,3.0,3.0,True
23,3.0,3.0,True
34,1.0,1.0,True
34,1.5,1.5,True
31,1.5,1.5,True
32,1.5,1.5,True
35,1.5,1.5,True
25,1.0,1.0,True
30,1.0,1.0,True
39,3.0,3.0,True
42,3.0,3.0,True
34,3.0,3.0,True
36,3.0,3.0,True
35,3.0,3.0,True
34,3.0,3.0,True
37,3.0,3.0,True
35,3.0,3.0,True
38,3.0,3.0,True
38,3.0,3.0,True
84,5.0,5.0,True
80,5.0,5.0,True
35,3.0,3.0,True
31,3.0,3.0,True
31,3.0,3.0,True
34,3.0,3.0,True
24,1.5,3.0,False
25,3.0,3.0,True
25,3.0,3.0,True
24,3.0,3.0,True
26,3.0,3.0,True
140,20.0,2.0,False
38,3.0,2.0,False
53,7.5,5.0,False
29,1.0,1.0,True
28,1.0,1.0,True
33,1.0,1.0,True
33,3.0,3.0,True
33,3.0,3.0,True
33,3.0,3.0,True
32,3.0,3.0,True
38,5.0,5.0,True
42,5.0,5.0,True
34,3.0,3.0,True
25,3.0,3.0,True
38,3.0,3.0,True
36,5.0,5.0,True
22,3.0,2.0,False
22,3.0,2.0,False
24,3.0,3.0,True
22,3.0,2.0,False
23,3.0,3.0,True
21,3.0,3.0,True
19,3.0,3.0,True
18,3.0,3.0,True
42,5.0,5.0,True
283,10.0,10.0,True
105,5.0,5.0,True
93,15.0,7.5,False
32,3.0,3.0,True
33,3.0,3.0,True
34,3.0,3.0,True
34,3.0,3.0,True
82,5.0,5.0,True
86,5.0,7.5,False
48,5.0,5.0,True
85,3.0,5.0,False
85,5.0,5.0,True
91,7.5,7.5,True
86,5.0,7.5,False
25,3.0,3.0,True
21,3.0,3.0,True
21,3.0,3.0,True
22,3.0,3.0,True
79,5.0,5.0,True
85,7.5,7.5,True
63,3.0,3.0,True
84,7.5,5.0,False
75,5.0,3.0,False
69,5.0,5.0,True
35,3.0,3.0,True
35,3.0,3.0,True
35,3.0,3.0,True
35,3.0,3.0,True
33,1.0,3.0,False
36,3.0,3.0,True
37,3.0,3.0,True
35,3.0,3.0,True
35,3.0,3.0,True
22,3.0,3.0,True
24,3.0,3.0,True
24,3.0,3.0,True
26,3.0,3.0,True
26,3.0,3.0,True
28,3.0,3.0,True
28,3.0,3.0,True
29,3.0,3.0,True
25,3.0,3.0,True
34,2.0,5.0,False
84,7.5,7.5,True
23,1.0,1.0,True
92,7.5,7.5,True
95,7.5,7.5,True
94,7.5,7.5,True
29,1.0,2.0,False
29,1.0,1.0,True
23,3.0,3.0,True
24,3.0,3.0,True
26,3.0,3.0,True
27,3.0,3.0,True
24,3.0,3.0,True
44,3.0,3.0,True
39,3.0,3.0,True
30,3.0,3.0,True
30,3.0,3.0,True
30,3.0,3.0,True
33,3.0,3.0,True
32,3.0,3.0,True
37,5.0,5.0,True
35,5.0,5.0,True
35,5.0,5.0,True
39,5.0,5.0,True
25,3.0,3.0,True
26,3.0,3.0,True
27,3.0,3.0,True
36,3.0,3.0,True
39,3.0,3.0,True
39,3.0,3.0,True
36,3.0,3.0,True
31,3.0,3.0,True
18,2.0,2.0,True
20,2.0,3.0,False
21,3.0,3.0,True
28,3.0,3.0,True
29,3.0,3.0,True
86,5.0,5.0,True
45,3.0,3.0,True
54,5.0,5.0,True
88,5.0,5.0,True
32,2.0,2.0,True
30,2.0,2.0,True
31,2.0,2.0,True
29,1.0,1.0,True
91,7.5,5.0,False
29,1.0,1.0,True
361,40.0,20.0,False
23,1.0,1.0,True
39,5.0,5.0,True
20,1.0,1.0,True
18,1.0,1.0,True
16,1.0,1.0,True
100,7.5,7.5,True
83,3.0,3.0,True
36,3.0,3.0,True
37,3.0,3.0,True
37,3.0,3.0,True
37,3.0,3.0,True
36,3.0,3.0,True
27,3.0,3.0,True
31,3.0,3.0,True
28,3.0,3.0,True
29,3.0,3.0,True
24,3.0,3.0,True
